#Release 9.1i - par J.30
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Sat Aug 01 17:40:56 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CPU_map.ncd
#OUTPUT FILE:      CPU_pad.csv
#PART TYPE:        xcv200
#SPEED GRADE:      -4
#PACKAGE:          pq240
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P30,,,VCCO,,,0,,,,,3.30,,,,,
P31,faddr<7>,IOB,IO_TRDY,OUTPUT,LVTTL,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P32,,,VCCINT,,,,,,,,2.5,,,,,
P33,RST,IOB,IO,INPUT,LVTTL,6,,,,NONE,,LOCATED,,NO,NONE,
P34,,IOB,IO,UNUSED,,6,,,,,,,,,,
P35,,IOB,IO,UNUSED,,6,,,,,,,,,,
P36,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P37,,,GND,,,,,,,,,,,,,
P38,,IOB,IO,UNUSED,,6,,,,,,,,,,
P39,,IOB,IO,UNUSED,,6,,,,,,,,,,
P40,,IOB,IO,UNUSED,,6,,,,,,,,,,
P41,,IOB,IO,UNUSED,,6,,,,,,,,,,
P42,faddr<6>,IOB,IO,OUTPUT,LVTTL,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P43,,,VCCINT,,,,,,,,2.5,,,,,
P44,,,VCCO,,,0,,,,,3.30,,,,,
P45,,,GND,,,,,,,,,,,,,
P46,faddr<5>,IOB,IO,OUTPUT,LVTTL,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P47,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P48,,IOB,IO,UNUSED,,6,,,,,,,,,,
P49,,IOB,IO,UNUSED,,6,,,,,,,,,,
P50,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P51,,,GND,,,,,,,,,,,,,
P52,faddr<4>,IOB,IO,OUTPUT,LVTTL,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P53,,IOB,IO,UNUSED,,6,,,,,,,,,,
P54,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P55,,IOB,IO,UNUSED,,6,,,,,,,,,,
P56,,IOB,IO,UNUSED,,6,,,,,,,,,,
P57,faddr<3>,IOB,IO,OUTPUT,LVTTL,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P58,,,M1,,,,,,,,,,,,,
P59,,,GND,,,,,,,,,,,,,
P60,,,M0,,,,,,,,,,,,,
P61,,,VCCO,,,0,,,,,3.30,,,,,
P62,,,M2,,,,,,,,,,,,,
P63,,IOB,IO,UNUSED,,5,,,,,,,,,,
P64,,IOB,IO,UNUSED,,5,,,,,,,,,,
P65,,IOB,IO,UNUSED,,5,,,,,,,,,,
P66,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P67,faddr<2>,IOB,IO,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P68,faddr<1>,IOB,IO,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P69,,,GND,,,,,,,,,,,,,
P70,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P71,,IOB,IO,UNUSED,,5,,,,,,,,,,
P72,,IOB,IO,UNUSED,,5,,,,,,,,,,
P73,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P74,faddr<0>,IOB,IO,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P75,,,GND,,,,,,,,,,,,,
P76,,,VCCO,,,0,,,,,3.30,,,,,
P77,,,VCCINT,,,,,,,,2.5,,,,,
P78,IODB<7>,IOB,IO,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P79,,IOB,IO,UNUSED,,5,,,,,,,,,,
P80,,IOB,IO,UNUSED,,5,,,,,,,,,,
P81,,IOB,IO,UNUSED,,5,,,,,,,,,,
P82,,IOB,IO,UNUSED,,5,,,,,,,,,,
P83,,,GND,,,,,,,,,,,,,
P84,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P85,IOAD<1>,IOB,IO,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,,,NO,NONE,
P86,,IOB,IO,UNUSED,,5,,,,,,,,,,
P87,,IOB,IO,UNUSED,,5,,,,,,,,,,
P88,,,VCCINT,,,,,,,,2.5,,,,,
P89,,GCLKIOB,GCK1,UNUSED,,5,,,,,,,,,,
P90,,,VCCO,,,0,,,,,3.30,,,,,
P91,,,GND,,,,,,,,,,,,,
P92,CLK,GCLKIOB,GCK0,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P93,IODB<6>,IOB,IO,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P94,IODK<7>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P95,IODK<6>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P96,IODK<5>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P97,IODK<4>,IOB,IO_VREF_4,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P98,,,GND,,,,,,,,,,,,,
P99,IODB<5>,IOB,IO,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P100,IODK<3>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P101,IODK<2>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P102,IODK<1>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P103,IODK<0>,IOB,IO,INPUT,LVTTL,4,,,,NONE,,LOCATED,,NO,NONE,
P104,,,VCCINT,,,,,,,,2.5,,,,,
P105,,,VCCO,,,0,,,,,3.30,,,,,
P106,,,GND,,,,,,,,,,,,,
P107,IODB<4>,IOB,IO,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P108,IODB<3>,IOB,IO_VREF_4,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P109,IODB<2>,IOB,IO,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P110,fclk<0>,IOB,IO,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P111,fclk<1>,IOB,IO_VREF_4,OUTPUT,LVTTL,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P112,,,GND,,,,,,,,,,,,,
P113,,IOB,IO,UNUSED,,4,,,,,,,,,,
P114,,IOB,IO,UNUSED,,4,,,,,,,,,,
P115,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P116,,IOB,IO,UNUSED,,4,,,,,,,,,,
P117,,IOB,IO,UNUSED,,4,,,,,,,,,,
P118,,IOB,IO,UNUSED,,4,,,,,,,,,,
P119,,,GND,,,,,,,,,,,,,
P120,,,DONE,,,,,,,,,,,,,
P121,,,VCCO,,,0,,,,,3.30,,,,,
P122,,,PROGRAM,,,,,,,,,,,,,
P123,,IOB,IO_INIT,UNUSED,,3,,,,,,,,,,
P124,IODB<1>,IOB,IO_D7,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P125,IODB<0>,IOB,IO,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P126,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P127,,IOB,IO,UNUSED,,3,,,,,,,,,,
P128,,IOB,IO,UNUSED,,3,,,,,,,,,,
P129,,,GND,,,,,,,,,,,,,
P130,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P131,,IOB,IO,UNUSED,,3,,,,,,,,,,
P132,,IOB,IO,UNUSED,,3,,,,,,,,,,
P133,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P134,,IOB,IO_D6,UNUSED,,3,,,,,,,,,,
P135,,,GND,,,,,,,,,,,,,
P136,,,VCCO,,,0,,,,,3.30,,,,,
P137,,,VCCINT,,,,,,,,2.5,,,,,
P138,,IOB,IO_D5,UNUSED,,3,,,,,,,,,,
P139,,IOB,IO,UNUSED,,3,,,,,,,,,,
P140,,IOB,IO,UNUSED,,3,,,,,,,,,,
P141,,IOB,IO,UNUSED,,3,,,,,,,,,,
P142,,IOB,IO,UNUSED,,3,,,,,,,,,,
P143,,,GND,,,,,,,,,,,,,
P144,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P145,,IOB,IO_D4,UNUSED,,3,,,,,,,,,,
P146,,IOB,IO,UNUSED,,3,,,,,,,,,,
P147,nPREQ,IOB,IO,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P148,,,VCCINT,,,,,,,,2.5,,,,,
P149,,PCIIOB,IO_TRDY,UNUSED,,3,,,,,,,,,,
P150,,,VCCO,,,0,,,,,3.30,,,,,
P151,,,GND,,,,,,,,,,,,,
P152,nPRD,IOB,IO_IRDY,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P153,ABUS<0>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P154,ABUS<1>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P155,ABUS<2>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P156,ABUS<3>,IOB,IO_D3,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P157,ABUS<4>,IOB,IO_VREF_2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P158,,,GND,,,,,,,,,,,,,
P159,nMREQ,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P160,DBUS<0>,IOB,IO,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P161,DBUS<1>,IOB,IO,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P162,DBUS<2>,IOB,IO,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P163,DBUS<3>,IOB,IO_D2,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P164,,,VCCINT,,,,,,,,2.5,,,,,
P165,,,VCCO,,,0,,,,,3.30,,,,,
P166,,,GND,,,,,,,,,,,,,
P167,DBUS<4>,IOB,IO_D1,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P168,DBUS<5>,IOB,IO_VREF_2,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P169,DBUS<6>,IOB,IO,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P170,DBUS<7>,IOB,IO,BIDIR,LVTTL,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P171,nWR,IOB,IO_VREF_2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P172,,,GND,,,,,,,,,,,,,
P173,ABUS<5>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P174,ABUS<6>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P175,ABUS<7>,IOB,IO_VREF_2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P176,ABUS<8>,IOB,IO,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P177,fclk<3>,IOB,IO_DIN_D0,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P178,nPWR,IOB,IO_DOUT_BUSY,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P179,,,CCLK,,,,,,,,,,,,,
P180,,,VCCO,,,0,,,,,3.30,,,,,
P181,,,TDO,,,,,,,,,,,,,
P182,,,GND,,,,,,,,,,,,,
P183,,,TDI,,,,,,,,,,,,,
P184,,IOB,IO_CS,UNUSED,,1,,,,,,,,,,
P185,ABUS<10>,IOB,IO_WRITE,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P186,ABUS<9>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P187,ABUS<15>,IOB,IO_VREF_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P188,nRD,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P189,nBHE,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P190,,,GND,,,,,,,,,,,,,
P191,nBLE,IOB,IO_VREF_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P192,DBUS<15>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P193,DBUS<14>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P194,DBUS<13>,IOB,IO_VREF_1,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P195,DBUS<12>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P196,,,GND,,,,,,,,,,,,,
P197,,,VCCO,,,0,,,,,3.30,,,,,
P198,,,VCCINT,,,,,,,,2.5,,,,,
P199,DBUS<11>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P200,DBUS<10>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P201,DBUS<9>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P202,DBUS<8>,IOB,IO,BIDIR,LVTTL,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
P203,fclk<2>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P204,,,GND,,,,,,,,,,,,,
P205,ABUS<14>,IOB,IO_VREF_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P206,ABUS<13>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P207,ABUS<12>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P208,ABUS<11>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P209,IOAD<0>,IOB,IO,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,,,NO,NONE,
P210,,GCLKIOB,GCK2,UNUSED,,1,,,,,,,,,,
P211,,,GND,,,,,,,,,,,,,
P212,,,VCCO,,,0,,,,,3.30,,,,,
P213,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,,,,
P214,,,VCCINT,,,,,,,,2.5,,,,,
P215,fir<7>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P216,fir<6>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P217,fir<5>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P218,fir<4>,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P219,,,GND,,,,,,,,,,,,,
P220,fir<3>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P221,fir<2>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P222,fir<1>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P223,fir<0>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P224,fir<15>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P225,,,VCCINT,,,,,,,,2.5,,,,,
P226,,,VCCO,,,0,,,,,3.30,,,,,
P227,,,GND,,,,,,,,,,,,,
P228,fir<14>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P229,fir<13>,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P230,fir<12>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P231,fir<11>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P232,fir<10>,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P233,,,GND,,,,,,,,,,,,,
P234,fir<9>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P235,fir<8>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P236,faddr<15>,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P237,faddr<14>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P238,faddr<13>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P239,,,TCK,,,,,,,,,,,,,
P240,,,VCCO,,,0,,,,,3.30,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
